City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kakonko,-3.28,30.96,68.79,52,25,2.86,TZ,1598736704
Leningradskiy,69.38,178.42,36.84,88,100,10.13,RU,1598736705
Presidencia Roque Sáenz Peña,-26.79,-60.44,83.91,45,97,11.3,AR,1598736705
Rikitea,-23.12,-134.97,70.03,68,58,6.98,PF,1598736705
Camacha,33.08,-16.33,71.6,64,40,12.75,PT,1598736706
Prescott,34.54,-112.47,86.0,28,75,10.29,US,1598736706
Dali,25.7,100.18,63.07,86,100,2.73,CN,1598736706
Hermanus,-34.42,19.23,43.0,89,83,5.73,ZA,1598736706
Kaspiysk,42.88,47.64,77.0,57,0,11.18,RU,1598736624
Padang,-0.95,100.35,77.0,79,87,4.56,ID,1598736707
Arraial do Cabo,-22.97,-42.03,73.4,83,0,17.22,BR,1598736707
Airai,-8.93,125.41,54.48,45,18,2.8,TL,1598736707
Hofn,64.25,-15.21,50.0,81,75,2.24,IS,1598736708
Maningrida,-12.07,134.27,70.52,68,36,10.56,AU,1598736708
Mossamedes,-15.2,12.15,61.09,71,0,4.5,AO,1598736708
Hasaki,35.73,140.83,78.8,100,20,1.12,JP,1598736709
Sayyan,15.17,44.32,62.87,62,21,0.72,YE,1598736709
Saint-Philippe,-21.36,55.77,68.0,77,39,6.93,RE,1598736709
Auki,-8.77,160.7,83.25,74,44,5.41,SB,1598736710
Bethel,41.37,-73.41,80.01,74,75,9.17,US,1598736689
Te Anau,-45.42,167.72,50.36,78,100,7.76,NZ,1598736710
Hobart,-42.88,147.33,55.0,62,75,3.36,AU,1598736674
Punta Arenas,-53.15,-70.92,39.2,86,75,28.86,CL,1598736711
Buraidah,26.33,43.98,89.6,21,0,3.36,SA,1598736711
Mount Isa,-20.73,139.5,66.2,42,75,6.93,AU,1598736711
Mataura,-46.19,168.86,51.66,77,99,8.28,NZ,1598736711
Asău,46.43,26.4,61.0,91,0,3.69,RO,1598736712
Bartlesville,36.75,-95.98,84.0,61,1,12.75,US,1598736712
Tiruchchendur,8.48,78.12,80.44,76,39,9.31,IN,1598736712
Avarua,-21.21,-159.78,77.0,73,4,18.34,CK,1598736712
Busselton,-33.65,115.33,39.99,76,87,7.18,AU,1598736713
Port Elizabeth,-33.92,25.57,48.2,87,23,12.75,ZA,1598736557
Yellowknife,62.46,-114.35,48.2,87,90,18.34,CA,1598736516
Tomatlán,19.93,-105.25,86.25,66,72,13.4,MX,1598736713
Longyearbyen,78.22,15.64,41.0,65,75,14.99,SJ,1598736714
Avera,33.19,-82.53,87.8,70,40,11.41,US,1598736714
Selty,57.31,52.13,58.14,95,100,3.27,RU,1598736714
Nelson Bay,-32.72,152.15,48.99,100,0,6.93,AU,1598736714
Butaritari,3.07,172.79,83.34,70,62,10.58,KI,1598736715
Port Blair,11.67,92.75,81.64,78,19,4.94,IN,1598736615
Hambantota,6.12,81.12,78.8,94,90,5.82,LK,1598736715
Jamestown,42.1,-79.24,68.0,82,90,21.92,US,1598736711
Necochea,-38.55,-58.74,43.0,63,0,8.99,AR,1598736716
Bluff,-46.6,168.33,53.19,75,88,32.79,NZ,1598736716
Sechura,-5.56,-80.82,71.26,59,3,19.48,PE,1598736716
Tuy Hoa,13.08,109.3,78.28,84,87,6.58,VN,1598736717
Cape Town,-33.93,18.42,48.0,87,40,8.05,ZA,1598736717
Barrow,71.29,-156.79,39.2,69,90,18.34,US,1598736717
Castro,-24.79,-50.01,63.81,73,0,3.89,BR,1598736718
Sinegor'ye,62.08,150.48,41.27,68,3,3.65,RU,1598736718
Vaini,-21.2,-175.2,78.8,78,40,11.41,TO,1598736718
Pawāyan,28.07,80.1,78.35,84,0,10.65,IN,1598736719
Znamenskoye,57.13,73.83,52.81,86,68,1.1,RU,1598736719
Tiksi,71.69,128.87,43.23,85,0,7.05,RU,1598736719
Srednekolymsk,67.45,153.68,45.0,73,27,3.44,RU,1598736720
Naze,28.37,129.48,80.6,94,20,3.36,JP,1598736720
